Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
Manjushree Technopack,3.8,Packaging,1k-5k Employees,40 years old,Bangalore/Bengaluru +18 more,Bangalore/Bengaluru +18 more,N/A,N/A
EdgeVerve Systems,3.6,Software Product,1k-5k Employees,9 years old,Bangalore/Bengaluru +11 more,Bangalore/Bengaluru +11 more,Job Security,Job Security
Dodla Dairy,4.3,FMCG,1k-5k Employees,28 years old,Hyderabad/Secunderabad +52 more,Hyderabad/Secunderabad +52 more,"Company Culture, Job Security, Skill Development / Learning",N/A
Suraksha Diagnostic,3.8,Healthcare,1k-5k Employees,31 years old,Kolkata +26 more,Kolkata +26 more,"Skill Development / Learning, Work Life Balance",N/A
Delta Electronics,3.9,Electronics Manufacturing,501-1k Employees,Forbes Global 2000,31 years old,Gurgaon/Gurugram +32 more,"Job Security, Work Life Balance",N/A
HBL Global,4.1,NBFC,11-50 Employees,23 years old,Mumbai +78 more,Mumbai +78 more,"Skill Development / Learning, Job Security, Company Culture",N/A
J K Fenner,3.7,Engineering & Construction,201-500 Employees,36 years old,Chennai +41 more,Chennai +41 more,N/A,N/A
Gartner,4.3,Management Consulting,1k-5k Employees,Public,44 years old,Stamford +11 more,"Work Life Balance, Job Security, Company Culture",N/A
Blue Yonder,4.2,Software Product,1k-5k Employees,38 years old,Scottsdale +9 more,Scottsdale +9 more,"Job Security, Work Life Balance, Company Culture",N/A
Godrej Industries,4.1,Chemicals,1k-5k Employees,Public,60 years old,Mumbai +49 more,"Company Culture, Work Life Balance, Job Security",N/A
Al Turki Enterprises,3.6,Oil & Gas,501-1k Employees,18 years old,Muscat +10 more,Muscat +10 more,N/A,N/A
Karvy DigiKonnect,3.1,Financial Services,10k-50k Employees,8 years old,Hyderabad +20 more,Hyderabad +20 more,N/A,"Salary & Benefits, Job Security, Promotions / Appraisal"
Godrej Industries,4.1,Chemicals,1k-5k Employees,Public,60 years old,Mumbai +49 more,"Company Culture, Work Life Balance, Job Security",N/A
Bharat Gears,4.1,Auto Components,1k-5k Employees,Public,51 years old,Mumbai +18 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Henry Harvin Education,4.2,EdTech,51-200 Employees,8 years old,Noida +12 more,Noida +12 more,"Work Life Balance, Job Security, Skill Development / Learning",N/A
Ge T & D India,4.2,Electrical Equipment,201-500 Employees,Public,66 years old,Henderson +32 more,"Company Culture, Work Life Balance, Salary & Benefits",N/A
Karvy Data Management,3.1,N/A,N/A,N/A,N/A,N/A,N/A,"Salary & Benefits, Promotions / Appraisal, Job Security"
Airports Authority of India,4.3,Aviation,10k-50k Employees,Central,28 years old,Delhi/NCR +77 more,"Work Life Balance, Job Security, Company Culture",N/A
LanceSoft,3.2,Recruitment,201-500 Employees,23 years old,Herndon +22 more,Herndon +22 more,N/A,"Job Security, Promotions / Appraisal, Work Satisfaction"
ALTEN,3.7,IT Services & Consulting,1k-5k Employees,35 years old,Bengaluru/Bangalore +14 more,Bengaluru/Bangalore +14 more,N/A,N/A
CMC,4.2,Education & Training,10k-50k Employees,Public,55 years old,Bhopal +53 more,"Skill Development / Learning, Work Satisfaction, Job Security",N/A
Amtek Auto,3.9,Auto Components,1k-5k Employees,Public,38 years old,Delhi/NCR +30 more,N/A,N/A
Collegedunia,3.2,EdTech,1k-5k Employees,Startup,9 years old,Gurgaon/Gurugram +14 more,N/A,"Job Security, Promotions / Appraisal"
Ess Kay Fincorp,4.0,NBFC,5k-10k Employees,Public,29 years old,Jaipur +107 more,"Company Culture, Skill Development / Learning, Work Satisfaction",N/A
Vaaman Engineers,3.8,Engineering & Construction,1k-5k Employees,33 years old,Mumbai +26 more,Mumbai +26 more,N/A,N/A
Toyota Industries Engine India,4.3,Industrial Machinery,501-1k Employees,28 years old,Kariya +4 more,Kariya +4 more,"Company Culture, Salary & Benefits, Skill Development / Learning",N/A
Ather Energy,4.0,Automobile,1k-5k Employees,Startup,10 years old,Bangalore +30 more,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
Gandhi Automations,4.0,Industrial Machinery,501-1k Employees,27 years old,Mumbai +18 more,Mumbai +18 more,"Salary & Benefits, Skill Development / Learning, Job Security",N/A
Nagarjuna Fertilizers and Chemicals,4.0,Agro Chemicals,501-1k Employees,38 years old,Hyderabad/Secunderabad +62 more,Hyderabad/Secunderabad +62 more,"Skill Development / Learning, Work Life Balance, Company Culture",N/A
Texmo Industries,3.9,Industrial Machinery,501-1k Employees,67 years old,Coimbatore +30 more,Coimbatore +30 more,"Job Security, Company Culture",N/A
PepsiCo (India) Holdings,4.3,N/A,N/A,N/A,N/A,N/A,"Work Life Balance, Skill Development / Learning, Company Culture",N/A
Larsen & Toubro Group,4.1,N/A,N/A,N/A,N/A,N/A,"Job Security, Skill Development / Learning, Company Culture",N/A
Corteva Agriscience,4.3,Agriculture,1k-5k Employees,Public,4 years old,Wilmington +69 more,"Company Culture, Job Security, Work Life Balance",N/A
RuralShores,4.1,BPO,1k-5k Employees,15 years old,Bangalore +38 more,Bangalore +38 more,"Work Satisfaction, Skill Development / Learning, Job Security",N/A
Vedang Cellular Services,4.1,Telecom,501-1k Employees,13 years old,Mumbai +51 more,Mumbai +51 more,"Salary & Benefits, Skill Development / Learning, Company Culture",N/A
Lenovo,4.1,Consumer Electronics & Appliances,1k-5k Employees,18 years old,Quarry Bay +71 more,Quarry Bay +71 more,"Work Life Balance, Company Culture, Skill Development / Learning",N/A
Reshamandi,3.8,Fashion & Textile,501-1k Employees,Startup,3 years old,Bangalore +30 more,"Company Culture, Salary & Benefits",N/A
ASG Eye Hospital,3.9,Healthcare,501-1k Employees,18 years old,Jodhpur +58 more,Jodhpur +58 more,Skill Development / Learning,N/A
Acadecraft,3.0,EdTech,201-500 Employees,12 years old,Noida +12 more,Noida +12 more,N/A,"Job Security, Work Satisfaction, Promotions / Appraisal"
Cadbury,4.5,Food Processing,1k-5k Employees,199 years old,London +84 more,London +84 more,"Skill Development / Learning, Salary & Benefits, Company Culture",N/A
Celebi Aviation Holding,4.0,N/A,N/A,N/A,N/A,N/A,"Skill Development / Learning, Salary & Benefits, Company Culture",N/A
Sayaji Hotels,4.3,Hospitality,1k-5k Employees,Public,36 years old,Indore +25 more,"Company Culture, Skill Development / Learning, Job Security",N/A
Kajaria Ceramics,4.1,Building Material,1k-5k Employees,Public,38 years old,Delhi/NCR +60 more,"Job Security, Work Life Balance, Company Culture",N/A
Go First,3.5,Aviation,1k-5k Employees,Public,18 years old,Mumbai +32 more,N/A,N/A
Moser Baer,3.9,Consumer Electronics & Appliances,1k-5k Employees,Public,40 years old,Delhi/NCR +12 more,"Skill Development / Learning, Work Life Balance, Company Culture",N/A
SMC Global Securities,3.3,1k-5k Employees,Public,29 years old,SMC Global Securities Ltd. +55 more,SMC Global Securities Ltd. +55 more,N/A,N/A
DHL Global Forwarding,4.2,Logistics,501-1k Employees,208 years old,Bonn +20 more,Bonn +20 more,"Job Security, Company Culture, Work Life Balance",N/A
Craftsman Automation,3.8,Industrial Machinery,1k-5k Employees,37 years old,Coimbatore +18 more,Coimbatore +18 more,"Salary & Benefits, Skill Development / Learning",N/A
Vijai Electricals,3.5,Power,5k-10k Employees,50 years old,Hyderabad/Secunderabad +35 more,Hyderabad/Secunderabad +35 more,N/A,Promotions / Appraisal
IRB Infrastructure,4.2,Engineering & Construction,5k-10k Employees,Public,25 years old,Mumbai +47 more,"Work Life Balance, Job Security, Company Culture",N/A
Westin,3.8,Hospitality,1k-5k Employees,93 years old,Kolkata +27 more,Kolkata +27 more,Skill Development / Learning,N/A
Jayaswal Neco Industries,4.1,Iron & Steel,1k-5k Employees,Public,51 years old,Nagpur +21 more,"Job Security, Work Life Balance, Skill Development / Learning",N/A
Pamac Finserve,3.6,Financial Services,501-1k Employees,28 years old,Mumbai +53 more,Mumbai +53 more,N/A,N/A
Satya MicroCapital,3.8,Financial Services,1k-5k Employees,Public,7 years old,Delhi +103 more,Salary & Benefits,N/A
Porter,4.0,Internet,1k-5k Employees,Startup,9 years old,Bangalore +21 more,"Company Culture, Work Life Balance, Work Satisfaction",N/A
Capco Technologies,3.7,IT Services & Consulting,1k-5k Employees,25 years old,London +14 more,London +14 more,Work Life Balance,N/A
_VOIS,4.1,Telecom,10k-50k Employees (Global),17 years old,Pune +10 more,Pune +10 more,"Job Security, Work Life Balance, Company Culture",N/A
Moglix,3.6,Internet,501-1k Employees,Indian Unicorn,8 years old,Singapore +33 more,N/A,N/A
Entrata,4.3,Software Product,501-1k Employees,20 years old,Provo +1 more,Provo +1 more,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
Kirloskar Pneumatic,4.1,Industrial Machinery,501-1k Employees,Public,65 years old,Pune +11 more,"Job Security, Work Life Balance, Company Culture",N/A
Prince Pipes & Fittings,4.2,Building Material,1k-5k Employees,Public,36 years old,Mumbai +45 more,"Skill Development / Learning, Job Security, Company Culture",N/A
Sudarshan Chemical Industries,3.7,Chemicals,1k-5k Employees,Public,71 years old,Pune +20 more,N/A,N/A
Heidelberg Cement,4.1,Building Material,1k-5k Employees,Forbes Global 2000,17 years old,Gurgaon/Gurugram +55 more,"Job Security, Company Culture, Work Life Balance",N/A
NetConnectGlobal,3.6,IT Services & Consulting,1k-5k Employees,26 years old,Bangalore/Bengaluru +40 more,Bangalore/Bengaluru +40 more,N/A,N/A
Foray Software,3.6,IT Services & Consulting,501-1k Employees,12 years old,Hyderabad/Secunderabad +16 more,Hyderabad/Secunderabad +16 more,N/A,N/A
Maersk Line,4.3,Logistics,201-500 Employees,Public,119 years old,Copenhagen +25 more,"Work Life Balance, Company Culture, Job Security",N/A
Chaayos,3.5,Hospitality,1k-5k Employees,11 years old,Delhi +19 more,Delhi +19 more,N/A,N/A
Herbalife International,4.1,Healthcare,1k-5k Employees,43 years old,Los Angeles +77 more,Los Angeles +77 more,"Company Culture, Work Life Balance, Salary & Benefits",N/A
Bajaj Capital Insurance,3.7,Insurance,1k-5k Employees,19 years old,New Delhi +98 more,New Delhi +98 more,N/A,N/A
Scientific Publishing Services,3.9,Analytics & KPO,1k-5k Employees,28 years old,Chennai +4 more,Chennai +4 more,Job Security,Job Security
BMC Software,4.3,Software Product,1k-5k Employees,43 years old,Houston +7 more,Houston +7 more,"Company Culture, Work Life Balance, Salary & Benefits",N/A
TriGeo Technologies,3.1,IT Services & Consulting,11-50 Employees,27 years old,Hyderabad/Secunderabad +5 more,Hyderabad/Secunderabad +5 more,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Pace Setters Business Solutions,3.1,BPO,201-500 Employees,17 years old,Mumbai +17 more,Mumbai +17 more,N/A,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Veritas Finance,4.2,Internet,1k-5k Employees,Startup,8 years old,Chennai +131 more,"Job Security, Company Culture, Salary & Benefits",N/A
Continental,4.1,Auto Components,5k-10k Employees,Forbes Global 2000,152 years old,Hanover +42 more,"Job Security, Work Life Balance, Company Culture",N/A
Advantmed,3.7,Software Product,501-1k Employees,18 years old,Santa Ana +5 more,Santa Ana +5 more,N/A,N/A
Thryve Digital,4.1,IT Services & Consulting,1k-5k Employees,7 years old,Chennai +3 more,Chennai +3 more,"Work Life Balance, Job Security, Company Culture",N/A
Boeing,4.0,Aviation,1k-5k Employees,Public,107 years old,Arlington +9 more,"Work Life Balance, Job Security, Company Culture",N/A
Aurigo,4.9,Software Product,201-500 Employees,20 years old,Austin +3 more,Austin +3 more,"Job Security, Work Life Balance, Company Culture",N/A
Axtria,3.5,Software Product,1k-5k Employees,13 years old,Berkeley Heights +8 more,Berkeley Heights +8 more,N/A,N/A
SIS Prosegur Holdings,3.7,Law Enforcement & Security,10k-50k Employees,28 years old,Patna +71 more,Patna +71 more,N/A,N/A
Optimum Infosystem,3.5,IT Services & Consulting,1k-5k Employees,26 years old,Singapore +13 more,Singapore +13 more,N/A,N/A
Dr. Reddy's Foundation,4.1,Non-Profit,1k-5k Employees,27 years old,Hyderabad/Secunderabad +71 more,Hyderabad/Secunderabad +71 more,"Skill Development / Learning, Work Life Balance, Company Culture",N/A
Usha Martin,4.0,Iron & Steel,1k-5k Employees,Public,62 years old,Kolkata +26 more,"Work Life Balance, Job Security, Skill Development / Learning",N/A
Shriram Housing Finance,3.8,Financial Services,501-1k Employees,Public,13 years old,Mumbai +106 more,N/A,N/A
NxtWave,4.0,EdTech,1k-5k Employees,Startup,3 years old,Hyderabad +10 more,"Company Culture, Skill Development / Learning, Salary & Benefits",N/A
Data Entry,3.9,BPO,51-200 Employees,24 years old,New Delhi +82 more,New Delhi +82 more,"Work Satisfaction, Skill Development / Learning, Salary & Benefits",N/A
B. G. Shirke Construction Technology,4.2,Engineering & Construction,1k-5k Employees,79 years old,Pune +20 more,Pune +20 more,"Job Security, Company Culture, Work Life Balance",N/A
Mahindra Automotives,4.1,Automobile,10k-50k Employees,75 years old,Hyderabad +81 more,Hyderabad +81 more,"Skill Development / Learning, Job Security, Work Satisfaction",N/A
Coats,3.9,N/A,N/A,N/A,N/A,N/A,"Company Culture, Work Life Balance, Skill Development / Learning",N/A
Autoliv,4.0,Auto Components,1k-5k Employees,70 years old,Klarabergsviadukten 70 +14 more,Klarabergsviadukten 70 +14 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Bahwan CyberTek,4.0,IT Services & Consulting,1k-5k Employees,24 years old,Chennai +13 more,Chennai +13 more,"Work Life Balance, Company Culture, Skill Development / Learning",N/A
Bahwan CyberTek,4.0,IT Services & Consulting,1k-5k Employees,24 years old,Chennai +13 more,Chennai +13 more,"Work Life Balance, Company Culture, Skill Development / Learning",N/A
Black Knight,3.6,IT Services & Consulting,1k-5k Employees,Startup,9 years old,Jacksonville +3 more,N/A,N/A
Data Entry,3.9,BPO,51-200 Employees,24 years old,New Delhi +82 more,New Delhi +82 more,"Work Satisfaction, Skill Development / Learning, Salary & Benefits",N/A
B. G. Shirke Construction Technology,4.2,Engineering & Construction,1k-5k Employees,79 years old,Pune +20 more,Pune +20 more,"Job Security, Company Culture, Work Life Balance",N/A
Mahindra Automotives,4.1,Automobile,10k-50k Employees,75 years old,Hyderabad +81 more,Hyderabad +81 more,"Skill Development / Learning, Job Security, Work Satisfaction",N/A
Reliance Infrastructure,4.0,Engineering & Construction,1k-5k Employees,Public,94 years old,Mumbai +49 more,"Work Life Balance, Company Culture, Skill Development / Learning",N/A
Hamilton Housewares,3.9,Consumer Electronics & Appliances,1k-5k Employees,51 years old,Mumbai +27 more,Mumbai +27 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Leighton Contractors,4.3,Engineering & Construction,501-1k Employees,25 years old,Mumbai +17 more,Mumbai +17 more,"Salary & Benefits, Company Culture, Skill Development / Learning",N/A
Jiva Ayurvedic Pharmacy,3.7,Healthcare,1k-5k Employees,31 years old,Faridabad +42 more,Faridabad +42 more,N/A,N/A
Amul India,4.3,N/A,N/A,N/A,N/A,N/A,"Job Security, Work Life Balance, Company Culture",N/A
CtrlS,3.6,IT Services & Consulting,501-1k Employees,16 years old,Hyderabad +14 more,Hyderabad +14 more,N/A,N/A
Roop Polymers,4.0,Auto Components,1k-5k Employees,Public,50 years old,Gurgaon/Gurugram +18 more,"Job Security, Work Life Balance, Skill Development / Learning",N/A
Castrol,4.2,Chemicals / Agri Inputs,501-1k Employees,Public,124 years old,Pangbourne +84 more,"Salary & Benefits, Company Culture, Work Life Balance",N/A
Technip Energies,4.1,Engineering & Construction,1k-5k Employees,2 years old,Paris +24 more,Paris +24 more,"Job Security, Company Culture, Skill Development / Learning",N/A
Anlitiks,4.8,N/A,N/A,N/A,N/A,N/A,"Work Life Balance, Job Security, Company Culture",N/A
Philips Innovation Campus,3.9,Healthcare,1k-5k Employees,Public,25 years old,Amsterdam +15 more,"Work Life Balance, Company Culture, Salary & Benefits",N/A
Trigent Software,3.8,IT Services & Consulting,1k-5k Employees,28 years old,Southborough +23 more,Southborough +23 more,N/A,N/A
Apollo Health and Lifestyle,4.2,Healthcare,501-1k Employees,21 years old,Hyderabad/Secunderabad +51 more,Hyderabad/Secunderabad +51 more,"Work Life Balance, Job Security, Skill Development / Learning",N/A
Baker Hughes,4.1,Oil & Gas,1k-5k Employees,Conglomerate,7 years old,Boston  +31 more,"Company Culture, Work Life Balance, Salary & Benefits",N/A
Cox & Kings,3.9,Travel & Tourism,1k-5k Employees,265 years old,Mumbai +48 more,Mumbai +48 more,Skill Development / Learning,N/A
Metro Group of Hospitals,3.6,Healthcare,10k-50k Employees (Global),26 years old,Noida +20 more,Noida +20 more,N/A,N/A
N.C.L. Industries,3.9,Building Material,501-1k Employees,Public,43 years old,Hyderabad/Secunderabad +51 more,N/A,N/A
Vizag Steel,4.1,Iron & Steel,10k-50k Employees,Public,52 years old,Visakhapatnam/Vizag +19 more,"Work Life Balance, Job Security, Skill Development / Learning",N/A
Cvent,3.5,IT Services & Consulting,1k-5k Employees,24 years old,Fairfax +3 more,Fairfax +3 more,N/A,N/A
Sanghi Industries,3.6,Building Material,501-1k Employees,Public,38 years old,Ahmedabad +22 more,N/A,N/A
Hpl Electric & Power,3.4,Electrical Equipment,1k-5k Employees,31 years old,Noida +50 more,Noida +50 more,N/A,N/A
Sterling Holiday Resort,3.8,Hospitality,1k-5k Employees,Public,37 years old,Chennai +52 more,N/A,N/A
RAK Ceramics,4.0,Building Material,501-1k Employees,34 years old,Ras Al Khaimah +39 more,Ras Al Khaimah +39 more,"Skill Development / Learning, Job Security",N/A
Satyam Auto Components,3.9,Auto Components,1k-5k Employees,22 years old,Ludhiana +19 more,Ludhiana +19 more,Job Security,N/A
iNurture Education Solutions,3.2,EdTech,501-1k Employees,18 years old,Bangalore +35 more,Bangalore +35 more,N/A,"Promotions / Appraisal, Salary & Benefits"
Sasken,3.5,IT Services & Consulting,1k-5k Employees,Public,34 years old,Bangalore/Bengaluru +9 more,N/A,N/A
Indecomm Global Services,3.5,IT Services & Consulting,1k-5k Employees,20 years old,Edison +12 more,Edison +12 more,N/A,N/A
Fena,4.1,Chemicals,201-500 Employees,47 years old,Delhi/NCR +62 more,Delhi/NCR +62 more,"Job Security, Salary & Benefits, Company Culture",N/A
Hindware,4.1,Building Material,501-1k Employees,63 years old,Gurgaon +68 more,Gurgaon +68 more,"Work Life Balance, Salary & Benefits, Company Culture",N/A
Emerson Electric Co.,4.1,IT Services & Consulting,5k-10k Employees,Public,133 years old,St Louis +23 more,"Job Security, Work Life Balance, Company Culture",N/A
Hindusthan National Glass,3.7,Packaging,501-1k Employees,Public,77 years old,Kolkata +19 more,N/A,Promotions / Appraisal
Marelli,3.7,Auto Components,51-200 Employees,104 years old,Corbetta +12 more,Corbetta +12 more,Work Life Balance,N/A
Monte Carlo,4.1,Fashion & Textile,201-500 Employees,Public,39 years old,San Francisco +68 more,"Salary & Benefits, Company Culture, Work Life Balance",N/A
Pearson Education India,4.1,Education & Training,201-500 Employees,23 years old,Noida +54 more,Noida +54 more,"Work Life Balance, Company Culture, Work Satisfaction",N/A
Novotel Hotels,4.3,Hospitality,1k-5k Employees,56 years old,Issy les Moulineaux +27 more,Issy les Moulineaux +27 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Nexdigm,3.2,N/A,N/A,N/A,N/A,N/A,N/A,"Promotions / Appraisal, Salary & Benefits"
Me n Moms,4.1,Retail,201-500 Employees,29 years old,Mumbai +50 more,Mumbai +50 more,"Skill Development / Learning, Work Satisfaction, Work Life Balance",N/A
Danfoss Industries,4.1,N/A,N/A,N/A,N/A,N/A,"Work Life Balance, Company Culture, Skill Development / Learning",N/A
British Council,3.8,Education & Training,1k-5k Employees,89 years old,London +19 more,London +19 more,"Work Life Balance, Company Culture",N/A
QUICK HEAL TECHNOLOGIES,3.8,Software Product,1k-5k Employees,Public,28 years old,Pune +38 more,N/A,N/A
Super Smelters,4.0,Metals & Mining,501-1k Employees,28 years old,Kolkata +14 more,Kolkata +14 more,"Job Security, Skill Development / Learning, Company Culture",N/A
Otsuka Pharmaceutical,4.2,Pharma,201-500 Employees,Forbes Global 2000,11 years old,Chiyoda City +30 more,"Job Security, Work Life Balance, Company Culture",N/A
Toothsi,2.7,Internet,501-1k Employees,Startup,5 years old,Mumbai +13 more,N/A,"Job Security, Promotions / Appraisal, Work Satisfaction"
Carlsberg,4.2,Beverage,1k-5k Employees,Forbes Global 2000,176 years old,Vesterbro +52 more,"Salary & Benefits, Work Life Balance, Company Culture",N/A
Lite Bite Foods,4.4,Food Processing,1k-5k Employees,22 years old,Gurgaon/Gurugram +19 more,Gurgaon/Gurugram +19 more,"Company Culture, Skill Development / Learning, Job Security",N/A
Deloitte Digital,4.0,IT Services & Consulting,10k-50k Employees,6 years old,New York +19 more,New York +19 more,"Company Culture, Job Security, Skill Development / Learning",N/A
Venus Remedies,4.3,Pharma,501-1k Employees,Public,34 years old,Panchkula +31 more,"Company Culture, Job Security, Salary & Benefits",N/A
BLK Super Speciality Hospital,3.9,Healthcare,501-1k Employees,64 years old,Delhi/NCR +9 more,Delhi/NCR +9 more,Skill Development / Learning,N/A
JM Financial,3.7,Financial Services,1k-5k Employees,Public,39 years old,Mumbai +48 more,N/A,N/A
MAHLE Behr India,4.1,Auto Components,1k-5k Employees,26 years old,Pune +7 more,Pune +7 more,"Job Security, Company Culture, Skill Development / Learning",N/A
IDBI Intech,3.7,IT Services & Consulting,1k-5k Employees,Central,23 years old,Navi Mumbai +22 more,"Job Security, Work Life Balance","Job Security, Work Life Balance"
CRYSTAL CROP PROTECTION,3.8,Agro Chemicals,1k-5k Employees,Public,43 years old,Delhi/NCR +61 more,N/A,N/A
Micron Electricals,3.9,Engineering & Construction,1k-5k Employees,47 years old,Bangalore/Bengaluru +16 more,Bangalore/Bengaluru +16 more,N/A,N/A
Onshore Construction,3.8,Engineering & Construction,201-500 Employees,28 years old,Mumbai +26 more,Mumbai +26 more,N/A,N/A
ExxonMobil,3.8,Oil & Gas,1k-5k Employees,Public,2023 years old,Irving +30 more,Salary & Benefits,N/A
Venky's,3.7,FMCG,5k-10k Employees,Public,47 years old,Pune +61 more,Job Security,Job Security
Fino Paytech,4.0,FinTech,51-200 Employees,17 years old,Mumbai +86 more,Mumbai +86 more,"Skill Development / Learning, Company Culture, Work Life Balance",N/A
Reliance Smart,4.2,Retail,5k-10k Employees,Public,17 years old,Mumbai +147 more,"Job Security, Skill Development / Learning, Work Life Balance",N/A
Glaze Trading India,4.0,Retail,5k-10k Employees,20 years old,Delhi/NCR +75 more,Delhi/NCR +75 more,"Company Culture, Skill Development / Learning, Work Life Balance",N/A
Carrier,4.0,Consumer Electronics & Appliances,1k-5k Employees,108 years old,Florida +37 more,Florida +37 more,"Work Life Balance, Company Culture, Job Security",N/A
Williams Lea,3.7,BPO,1k-5k Employees,Public,203 years old,New York +12 more,N/A,N/A
Cyfuture,3.4,IT Services & Consulting,201-500 Employees,22 years old,Noida +26 more,Noida +26 more,N/A,N/A
WayCool Foods and Products,3.6,FMCG,501-1k Employees,8 years old,Chennai +28 more,Chennai +28 more,N/A,N/A
Acme Generics LLP,4.5,Pharma,1k-5k Employees,18 years old,Baddi +16 more,Baddi +16 more,"Skill Development / Learning, Work Life Balance, Work Satisfaction",N/A
TVS Eurogrip,3.6,Auto Components,1k-5k Employees,Public,41 years old,Madurai +51 more,N/A,N/A
Country Holidays Travel India,4.4,Travel & Tourism,201-500 Employees,Startup,1 years old,New Delhi +12 more,"Work Life Balance, Company Culture, Work Satisfaction",N/A
Einfochips,3.5,IT Services & Consulting,1k-5k Employees,29 years old,San Jose +10 more,San Jose +10 more,N/A,N/A
Wissen Technology,4.1,IT Services & Consulting,1k-5k Employees,8 years old,Bengaluru +9 more,Bengaluru +9 more,"Salary & Benefits, Skill Development / Learning, Job Security",N/A
Virtual Employee,3.4,Recruitment,1k-5k Employees,16 years old,Noida +13 more,Noida +13 more,N/A,Promotions / Appraisal
Universal Sompo General Insurance,3.8,Insurance,1k-5k Employees,16 years old,Mumbai +77 more,Mumbai +77 more,N/A,N/A
Efs Facilities Services,4.0,Facility Management Services,201-500 Employees,17 years old,Dubai +47 more,Dubai +47 more,"Skill Development / Learning, Company Culture, Job Security",N/A
Baazar Kolkata,4.3,Retail,1k-5k Employees,21 years old,Kolkata +66 more,Kolkata +66 more,"Work Life Balance, Company Culture, Job Security",N/A
Turtlemint,3.6,Internet,1k-5k Employees,Startup,8 years old,Mumbai +75 more,N/A,N/A
QHTalbros,3.5,Auto Components,5k-10k Employees,Public,37 years old,Gurgaon/Gurugram +16 more,N/A,Promotions / Appraisal
SLMG Beverages,3.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dr. Batras' Positive Health Clinic,3.4,Healthcare,5k-10k Employees,41 years old,Mumbai +79 more,Mumbai +79 more,N/A,N/A
Sarovar Hotels & Resorts,4.2,Hospitality,1k-5k Employees,27 years old,Gurgaon/Gurugram +57 more,Gurgaon/Gurugram +57 more,"Work Life Balance, Skill Development / Learning, Work Satisfaction",N/A
Mahanagar Gas,4.2,Oil & Gas,501-1k Employees,Public,28 years old,Mumbai +21 more,"Work Life Balance, Company Culture, Job Security",N/A
Sulzer,3.9,Industrial Machinery,501-1k Employees,189 years old,Winterthur +17 more,Winterthur +17 more,N/A,N/A
South Indian Bank,3.6,Banking,1k-5k Employees,Public,94 years old,Thrissur/Trichur +61 more,"Job Security, Salary & Benefits",N/A
NICE,3.9,Software Product,1k-5k Employees,Public,37 years old,Pune +13 more,"Company Culture, Job Security",N/A
Vindhya Telelinks,4.0,Hardware & Networking,501-1k Employees,Public,40 years old,Delhi/NCR +50 more,Job Security,N/A
Bharat Biotech International,3.0,Biotechnology,1k-5k Employees,27 years old,Hyderabad +25 more,Hyderabad +25 more,N/A,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Petpooja,4.5,Software Product,1k-5k Employees,12 years old,Ahmedabad +33 more,Ahmedabad +33 more,"Company Culture, Skill Development / Learning, Work Satisfaction",N/A
Impetus Technologies,3.7,IT Services & Consulting,1k-5k Employees,32 years old,Los Gatos +16 more,Los Gatos +16 more,Job Security,N/A
Emaar India Limited,3.7,Real Estate,501-1k Employees,Public,18 years old,Delhi/NCR +16 more,N/A,N/A
Axiscades,3.3,IT Services & Consulting,1k-5k Employees,Public,33 years old,Bangalore/Bengaluru +8 more,N/A,"Promotions / Appraisal, Salary & Benefits"
Mecon,4.0,Metals & Mining,1k-5k Employees,State,64 years old,Ranchi +40 more,"Work Life Balance, Skill Development / Learning","Work Life Balance, Skill Development / Learning"
VirtusaPolaris,3.7,IT Services & Consulting,1k-5k Employees,27 years old,Colombo +8 more,Colombo +8 more,N/A,N/A
Central Bank of India,3.9,Banking,10k-50k Employees,Public,112 years old,Mumbai +88 more,"Job Security, Salary & Benefits, Promotions / Appraisal",N/A
RealPage,3.8,IT Services & Consulting,1k-5k Employees,25 years old,Richardson +6 more,Richardson +6 more,"Company Culture, Work Life Balance",N/A
Five-star Business Finance,4.3,NBFC,5k-10k Employees,Public,39 years old,Chennai +131 more,"Job Security, Company Culture, Work Satisfaction",N/A
Wellness Forever Medicare,3.9,Retail,1k-5k Employees,15 years old,Mumbai +28 more,Mumbai +28 more,"Skill Development / Learning, Company Culture",N/A
ThoughtWorks,4.0,IT Services & Consulting,1k-5k Employees,30 years old,Chicago +11 more,Chicago +11 more,"Work Life Balance, Skill Development / Learning, Company Culture",N/A
Reliance Life Sciences,3.6,Pharma,1k-5k Employees,22 years old,Mumbai +27 more,Mumbai +27 more,Job Security,N/A
Aptech,3.6,Education & Training,201-500 Employees,Public,37 years old,Mumbai +67 more,N/A,N/A
FMC,4.1,Agro Chemicals,1k-5k Employees,Forbes Global 2000,14 years old,Patna +81 more,"Work Life Balance, Salary & Benefits, Company Culture",N/A
